# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-2032.00	13-1161.00	Primary-Short	Market Research Analysts and Marketing Specialists
11-2032.00	13-1111.00	Primary-Short	Management Analysts
11-2032.00	11-2021.00	Primary-Short	Marketing Managers
11-2032.00	11-2033.00	Primary-Long	Fundraising Managers
11-2032.00	11-9151.00	Primary-Long	Social and Community Service Managers
11-2032.00	11-3121.00	Primary-Long	Human Resources Managers
11-2032.00	13-1161.01	Primary-Long	Search Marketing Strategists
11-2032.00	11-1021.00	Primary-Long	General and Operations Managers
11-2032.00	11-1011.00	Supplemental	Chief Executives
11-2032.00	25-1122.00	Supplemental	Communications Teachers, Postsecondary
11-2032.00	11-3012.00	Supplemental	Administrative Services Managers
11-2032.00	27-2012.03	Supplemental	Media Programming Directors
11-2032.00	25-1011.00	Supplemental	Business Teachers, Postsecondary
11-2032.00	13-1075.00	Supplemental	Labor Relations Specialists
11-2032.00	13-1071.00	Supplemental	Human Resources Specialists
11-2032.00	43-6011.00	Supplemental	Executive Secretaries and Executive Administrative Assistants
11-2032.00	41-3011.00	Supplemental	Advertising Sales Agents
11-2032.00	15-2051.01	Supplemental	Business Intelligence Analysts
11-2033.00	13-1131.00	Primary-Short	Fundraisers
11-2033.00	11-2032.00	Primary-Short	Public Relations Managers
11-2033.00	27-3031.00	Primary-Short	Public Relations Specialists
11-2033.00	11-2011.00	Primary-Short	Advertising and Promotions Managers
11-2033.00	11-9151.00	Primary-Short	Social and Community Service Managers
11-2033.00	11-3031.00	Primary-Long	Financial Managers
11-2033.00	13-1121.00	Primary-Long	Meeting, Convention, and Event Planners
11-2033.00	11-2021.00	Primary-Long	Marketing Managers
11-2033.00	11-2022.00	Primary-Long	Sales Managers
11-2033.00	11-3031.01	Primary-Long	Treasurers and Controllers
11-2033.00	11-1011.00	Supplemental	Chief Executives
11-2033.00	13-1111.00	Supplemental	Management Analysts
11-2033.00	13-1161.00	Supplemental	Market Research Analysts and Marketing Specialists
11-2033.00	11-9033.00	Supplemental	Education Administrators, Postsecondary
11-2033.00	11-3031.03	Supplemental	Investment Fund Managers
11-2033.00	13-2052.00	Supplemental	Personal Financial Advisors
11-2033.00	43-6011.00	Supplemental	Executive Secretaries and Executive Administrative Assistants
11-2033.00	11-3111.00	Supplemental	Compensation and Benefits Managers
11-2033.00	13-1082.00	Supplemental	Project Management Specialists
11-2033.00	43-4061.00	Supplemental	Eligibility Interviewers, Government Programs
11-3012.00	43-1011.00	Primary-Short	First-Line Supervisors of Office and Administrative Support Workers
11-3012.00	11-1021.00	Primary-Short	General and Operations Managers
11-3012.00	43-6011.00	Primary-Short	Executive Secretaries and Executive Administrative Assistants
11-3012.00	13-1082.00	Primary-Short	Project Management Specialists
11-3012.00	15-1299.03	Primary-Short	Document Management Specialists
11-3012.00	11-9199.02	Primary-Long	Compliance Managers
11-3012.00	41-1012.00	Primary-Long	First-Line Supervisors of Non-Retail Sales Workers
11-3012.00	11-3013.00	Primary-Long	Facilities Managers
11-3012.00	13-1071.00	Primary-Long	Human Resources Specialists
11-3012.00	11-3121.00	Primary-Long	Human Resources Managers
11-3012.00	13-1111.00	Supplemental	Management Analysts
11-3012.00	43-6014.00	Supplemental	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
11-3012.00	11-1011.00	Supplemental	Chief Executives
11-3012.00	43-9061.00	Supplemental	Office Clerks, General
11-3012.00	43-4161.00	Supplemental	Human Resources Assistants, Except Payroll and Timekeeping
11-3012.00	11-9111.00	Supplemental	Medical and Health Services Managers
11-3012.00	37-1011.00	Supplemental	First-Line Supervisors of Housekeeping and Janitorial Workers
11-3012.00	15-1299.09	Supplemental	Information Technology Project Managers
11-3012.00	29-9021.00	Supplemental	Health Information Technologists and Medical Registrars
